ip,lat,lng,org,cc
13.228.72.193,1.28009,103.851,AWS EC2 (ap-southeast-1),SG
130.194.11.52,-37.8411,144.9799,Monash University,AU
104.44.201.170,43.6532,-79.3832,Microsoft Corporation,CA
103.37.196.23,1.29873,103.787,A*STAR,SG
137.132.243.174,1.29754,103.772,National University of Singapore,SG
23.199.85.209,3.1686,101.7035,"Akamai Technologies, Inc.",MY
130.246.176.85,51.567,-1.78472,Science Technology Facilities Council,GB
120.126.194.131,24.9466,121.586,National Taipei University,TW
137.132.209.141,1.29754,103.772,National University of Singapore,SG
42.153.60.197,3.1773,101.7054,,MY
198.143.33.121,34.0544,-118.2441,Incapsula Inc,US
202.58.80.223,3.0591,101.5189,Universiti Teknologi MARA,MY
216.165.102.1,40.7291,-73.9929,New York University,US
193.62.192.6,52.1929,0.1256,European Bioinformatics Institute,GB
195.128.8.33,51.816,4.664,Springer Science+Business Media B.V.,NL
148.187.64.127,46.0241,8.96005,Centro Svizzero di Calcolo Scientifico,CH
14.139.252.30,28.7067,77.8309,Indra Gandhi Institute of Technology,IN
82.130.39.139,60.205,24.6455,Aalto University Student Union,FI
14.139.160.245,12.8996,80.2209,Indian Institute of Technology Madras Beside Adyar Cancer Institute,IN
155.69.204.51,1.34712,103.68,Nanyang Technological University,SG
74.125.200.132,37.422,-122.084,Google LLC,US
140.116.158.245,24.9493,121.337,,TW
202.21.159.244,1.44292,103.785,Rpnet,SG
104.44.201.152,43.6532,-79.3832,Microsoft Corporation,CA
129.10.135.121,42.3427,-71.0922,Northeastern University,US
137.132.208.204,1.29754,103.772,National University of Singapore,SG
54.243.104.69,39.0438,-77.4874,AWS EC2 (us-east-1),US
220.156.176.16,1.3032,103.793,"ComIT, Institute of Molecular and Cell Biology",SG
14.139.5.10,12.9634,77.5855,NKN Institute,IN
140.115.32.83,24.9614,121.2437,,TW
123.136.64.68,1.29961,103.788,A Star,SG
130.230.81.9,61.4498,23.859,Tampere University of Technology,FI
103.37.196.20,1.29873,103.787,A*STAR,SG
137.132.232.252,1.29754,103.772,National University of Singapore,SG
103.37.196.80,1.29873,103.787,A*STAR,SG
167.205.22.102,-6.9217,107.6071,"Computer Network Research Group, Institute of Technology Bandung",ID
193.62.193.9,52.1929,0.1256,European Bioinformatics Institute,GB
139.17.3.177,52.3811,13.0639,Helmholtz-Zentrum Potsdam Deutsches GeoForschungsZentrum GFZ,DE
130.246.176.41,51.567,-1.78472,Science Technology Facilities Council,GB
192.101.107.174,46.3448,-119.279,"Battelle Memorial Institute, Pacific Northwest Division",US
220.156.180.22,1.3032,103.793,"ComIT, Institute of Molecular and Cell Biology",SG
123.136.64.7,1.29961,103.788,A Star,SG
130.211.14.80,39.0997,-94.5785,Google Cloud,US
50.112.109.24,45.5235,-122.676,AWS EC2 (us-west-2),US
216.58.203.234,1.35208,103.82,Google LLC,SG
137.132.15.18,1.29754,103.772,National University of Singapore,SG
14.139.34.26,31.7126,76.9328,Indian Institute of Technology,IN
23.50.80.155,1.35208,103.82,"Akamai Technologies, Inc.",SG
140.112.30.26,25.0504,121.5324,,TW
219.74.37.63,1.43801,103.789,SingNet Pte Ltd,SG
209.85.229.247,37.422,-122.084,Google LLC,US
158.37.60.216,59.9139,10.7522,UNINETT,NO
143.215.4.17,33.8229,-84.3535,Georgia Institute of Technology,US
175.45.191.251,-7.9826,112.6308,UNIBRAW,ID
52.220.245.87,1.28009,103.851,AWS EC2 (ap-southeast-1),SG
155.69.192.29,1.34712,103.68,Nanyang Technological University,SG
130.246.176.22,51.567,-1.78472,Science Technology Facilities Council,GB
192.122.131.36,1.29961,103.788,A*STAR,SG
180.149.61.69,28.5898,77.2354,,IN
203.80.21.4,2.92337,101.656,Myren Infra,MY
14.139.153.2,12.9634,77.5855,,IN
103.5.182.13,6.11786,100.37,,MY
144.16.111.25,28.5866,77.2395,ERNET India,IN
155.69.136.89,1.34712,103.68,Nanyang Technological University,SG
137.132.32.247,1.29754,103.772,National University of Singapore,SG
180.149.59.234,28.5898,77.2357,,IN
103.237.142.249,1.30286,103.789,ESSEC,SG
193.61.196.206,51.5026,-0.066,European Centre for Medium Range Weather Forecasts,GB
210.48.222.9,3.34944,101.826,International Islamic University Of Malaysia,MY
54.231.82.178,39.0438,-77.4874,AWS S3 (us-east-1),US
74.125.10.41,1.35208,103.82,Google LLC,SG
159.226.5.131,39.9042,116.407,,CN
103.37.196.24,1.29873,103.787,A*STAR,SG
139.179.164.228,39.9282,32.8564,Bilkent University,TR
155.69.193.240,1.34712,103.68,Nanyang Technological University,SG
203.80.16.132,2.9269,101.6971,Myren Infra,MY
137.132.21.27,1.29754,103.772,National University of Singapore,SG
198.71.44.39,42.2338,-83.7289,Internet2,US
202.6.241.91,1.38755,103.844,A-STAR,SG
14.139.246.22,28.6328,77.2204,Panjab University,IN
31.13.78.14,-36.8506,174.7679,Meta Platforms Ireland Limited,NZ
130.14.29.35,38.8341,-76.7974,National Library of Medicine,US
74.125.200.109,37.422,-122.084,Google LLC,US
218.197.152.189,30.536,114.364,,CN
130.191.35.133,32.7746,-117.0748,San Diego State University,US
42.60.199.165,1.29199,103.807,SingNet Pte Ltd,SG
155.69.191.249,1.34712,103.68,Nanyang Technological University,SG
64.233.188.128,37.422,-122.084,Google LLC,US
162.252.68.131,42.2338,-83.7289,Internet2,US
74.125.10.39,1.35208,103.82,Google LLC,SG
14.139.159.162,28.6542,77.2373,Indian Institute of Astrophysics,IN
192.170.230.228,41.7821,-87.6046,University of Chicago,US
130.246.176.37,51.567,-1.78472,Science Technology Facilities Council,GB
74.125.200.100,37.422,-122.084,Google LLC,US
103.31.35.2,1.8632,103.0962,Universiti Tun Hussein Onn Malaysia,MY
155.69.160.38,1.34712,103.68,Nanyang Technological University,SG
193.146.75.128,43.4611,-3.8021,Instituto de Fisica de Cantabria,ES
137.132.243.142,1.29754,103.772,National University of Singapore,SG
74.125.200.136,37.422,-122.084,Google LLC,US
74.125.130.188,36.0571,-86.6729,Google LLC,US
155.69.194.99,1.34712,103.68,Nanyang Technological University,SG
59.191.192.73,-37.9163,145.139,Monash University,AU
128.42.169.27,29.7228,-95.4251,Rice University,US
120.124.60.80,24.9898,121.232,Vanung University,TW
133.5.26.111,33.5888,130.4092,Kyushu University,JP
155.69.204.78,1.34712,103.68,Nanyang Technological University,SG
137.132.250.8,1.29754,103.772,National University of Singapore,SG
137.132.19.118,1.29754,103.772,National University of Singapore,SG
130.246.176.130,51.567,-1.78472,Science Technology Facilities Council,GB
192.122.131.53,1.29961,103.788,A*STAR,SG
165.21.83.88,1.29199,103.807,SingNet Pte Ltd,SG
155.69.195.52,1.34712,103.68,Nanyang Technological University,SG
155.230.21.203,35.8723,128.5924,,KR
202.158.196.131,-35.2298,149.106,Australian Academic and Research Network,AU
140.111.1.2,24.9466,121.586,,TW
194.254.137.126,49.9007,2.2968,Groupe ESSEC,FR
155.69.253.130,1.34712,103.68,Nanyang Technological University,SG
74.125.10.12,37.422,-122.084,Google LLC,US
134.153.153.253,47.5124,-52.6729,Memorial University of Newfoundland,CA
137.132.221.90,1.29754,103.772,National University of Singapore,SG
155.69.160.18,1.34712,103.68,Nanyang Technological University,SG
192.248.8.81,7.25494,80.5974,Lanka Education and Research Network,LK
123.136.64.35,1.29961,103.788,A Star,SG
52.74.216.114,1.28009,103.851,AWS EC2 (ap-southeast-1),SG
192.101.107.153,46.3448,-119.279,"Battelle Memorial Institute, Pacific Northwest Division",US
131.193.191.3,41.8719,-87.6589,University of Illinois at Chicago,US
123.136.65.254,1.29961,103.788,A Star,SG
64.233.189.128,37.422,-122.084,Google LLC,US
14.139.5.218,12.9634,77.5855,NKN Institute,IN
14.139.196.58,26.1206,91.6523,Indian Institute of Technology,IN
54.231.81.235,39.0438,-77.4874,AWS S3 (us-east-1),US
155.69.160.73,1.34712,103.68,Nanyang Technological University,SG
202.6.241.92,1.38755,103.844,A-STAR,SG
74.125.10.24,1.35208,103.82,Google LLC,SG
35.185.129.8,25.0329,121.5654,Google Cloud (asia-east1),TW
52.113.65.141,1.352,103.8198,Microsoft Corporation,SG
137.132.250.9,1.29754,103.772,National University of Singapore,SG
194.66.32.16,52.4064,-1.5082,Coventry University,GB
62.210.73.227,48.8714,2.32141,ONLINE,FR
155.69.253.5,1.34712,103.68,Nanyang Technological University,SG
203.30.39.13,1.29548,103.859,Singaren GIX,SG
192.248.97.225,6.0336,80.2197,Lanka Education and Research Network,LK
54.231.120.4,39.0438,-77.4874,AWS S3 (us-east-1),US
134.196.45.111,13.757,100.565,True Internet Corporation CO. LTD,TH
202.21.158.37,1.44292,103.785,Rpnet,SG
155.69.17.235,1.34712,103.68,Nanyang Technological University,SG
